id,txn_id,status,get_slot,landed_slot,slot_delta,time_at_txn_sent,time_taken_processed
5,66xER5wsPSiRXUFZxY7dmAEwmyv7PtXJZFoiD7nXnhSVxFWz15UQ3agFDWjzaNLzBWqBabNaJko6fngfoydGV4DD,true,293245538,293245543,5,1727861477,2399
4,1PPn4MzydT9japV5QLhZGCme4BXAzemjiJWF3Jw5zuwqRrV2fda9Bapj8oPsKUennLoUVP9Cf5KDxfU2rqxBkhs,true,293245538,293245543,5,1727861477,2466
8,4Yc89XJC998cwuQS712wrG9nFFxSq6NWUSi1CSTJQA8pFBWAxoKrrnNoK54UkEMKkEbCU9jvrsHHTFimPqhMz1Hy,true,293245538,293245543,5,1727861477,2377
6,Hi9yGeDzSdWeAHaAx4ArxjJHHnzyzzCFB73sWWsXX4VLnsmQMhhWhvihdAWhDGJmZBowJsQ1NCPUkxqGXkvsCLn,true,293245538,293245543,5,1727861477,2506
3,2Wama2VjJM2ie3s7DEbExJaKngPofomdZydhcGPqAVvrit5dweMzMVibK3xtXt7BSqWbKH6tTxuBaFfX4LAsyaRp,true,293245538,293245543,5,1727861477,2518
1,5ErLNfvEHrSuMA4iSxxSKdFcrYvoanxebbdfmpqVqiyWQ7hVUyUCxCdqu3jxbeFmvKxiFHeZTSqrFEScG7CNWKMy,true,293245538,293245543,5,1727861477,2368
7,4zyuZkYARGYjNZA2txkLou1PDvfG8iAu1hA95uPfVQvnLejFkPyh1P28Ve8MqQk3MzKfTRp12EBTe9gRpy6uqDzM,true,293245538,293245543,5,1727861477,2334
2,53h4FsEzxNzQMvqiBRGRx8cLZhkChEbCgmoMN6jZhQVoE7aZucAXVBVrG3NnEEUNx7mUBnDpNgPzYvuou5hiPcPS,true,293245538,293245543,5,1727861477,2498
0,4uMrGvNYQfMYzYiJdDmYQ1UfQZA3usTDmRpzL4eRWnhp5spYz4nEk4ABAXFv5E7JafJeCz6kNq4Ter6d2JJYg1xi,true,293245538,293245543,5,1727861477,2339
9,NBqxDAzbk5D3gGZqWwYEnwHLQfHBXbibAr164h5xYiFwoEbnPWyBGHx8c83E2HP2kgbJe5h3Gu4ohcUe1v4YRJm,true,293245538,293245543,5,1727861477,2541
25,3S4P9pfsXNWUt29mYjBY3ac26axTHy4JZGx49tLLrRLBAPz5fTJ4KfoBwVAZoVzBiNhFzGjXnLiBwB6TUWY5Nk2L,true,293245546,293245552,6,1727861481,3073
23,54GMoz9ATQ8CYwcSc3HXbBNTj7iY5MvbEDdGQVuhSoNnFGNrhw9jniBsCa7dUPNCTNHtQGEJbfHUPkaFML779Nz7,true,293245546,293245552,6,1727861481,3211
24,2zeiQLj499SE4Nxi79c9Toppn818VJ1o9LSiuwvmr3Y5afvu8qLHmjB8oNUeQMrqRAh8sGcsiXhiVNVGmVGVaT1Y,true,293245547,293245552,5,1727861481,3047
28,67KnvKgPgcj5pR8yE7ijSPaQAjuLVxnaWSQbte6ke26cmrTSGsLRuXqSfhKp4pHB1CA2GqKXafRF7iETnR48QTkw,true,293245546,293245552,6,1727861481,3142
22,63xkfmWQZ8v7ozJe8dAgRJVR39RS786pTY9WrX6QsKMEogG6EzZg1rjtP1XhCZKL1y2wzvmkNYDxq4aaChisoW7p,true,293245547,293245552,5,1727861481,3034
27,4mrJU8eKXtR9QVwubLM89m4CW9Fniw38355fyTNFDLYTUHkpSRX8P6UmJjhdv43TyWoTszBap7dyAM4hw8fKQ6KC,true,293245547,293245552,5,1727861481,3037
26,5WKEGhZgjKmTBpjkBGDHi2EhroccQxM4wDG31S8NYFMDgoaPk5sQoUM47pEwWvXYo89uTi4gP1uXCMpnKVSyQJJN,true,293245547,293245552,5,1727861481,3033
21,EW9SFLhBWfR45cMZjC1rEmfVJi9MD7xQhZSvJpRhLhzgE26R6ZBCctL9NQ5ntuwk4dq4DhFEW3UQ329PWa8CaFh,true,293245547,293245552,5,1727861481,3012
29,67mwXPNU9r7xservruC698XS7XJ3RBDvAWSK7ZVjbqSKYX58vv6NdYUirMqgcYS9GRd6S7WwmncpYpezJwP11emM,true,293245546,293245552,6,1727861481,3341
20,2xrNAMU4n5Yh4JnVbZcryp3hDPgFpWfo1MxDN67bGa9RST4LDURFAAPyd229ins3EQJYQ89tH9LZ9QQkPHm7VKrX,true,293245547,293245552,5,1727861481,3041
16,55137LPYqrj3MmRXgURiFHTYC8MgY3uiG8fSNTi8E6BLDBaH86QnJcjGwCpAtYuzEvuThFcyKJpB2mYszDxCHoC7,true,293245542,293245553,11,1727861479,5826
10,3sdsVP2u5VyaDFZVwbrgjF9CMAPUihWnyM4nxi6w8vSqyARkrNU8mWLS6gnzfyaGBRbkMZG87Jecv6VSyk6yBhGM,true,293245542,293245553,11,1727861479,5942
18,2bXRC6xbESwhQQuJgM995edo4p8H2fdrwZifcS6xQ6ZZpYBnQs21MaQtDHbk7jCnKXUzEFt4qpVuHpYUTECpEYA,true,293245542,293245553,11,1727861479,5795
13,5Tk2YtS4oizVHXthdawm8kPtfVvWrghDvKTWDN9kYGN316w8kFjP5FAJCjQAFmsjXDYCiKWruCEy1CG9K2yiwQGY,true,293245542,293245553,11,1727861479,5782
12,5ay8h1t8vQmgqoB3c1J6wT2dFVSiFXgsDiegZWQVjX8ArEdnkJyaowKwmcVJAf6RKy6G7T1R2invfb86aA77Gigw,true,293245541,293245554,13,1727861479,6710
15,5i4kiqFLVzqW9D5amHCAxvNxPEnCg9k7w5H9z8PxLgD9h1S7sG2xvdEGfZMnVLMegDqNe1zKFKRCn623PP4qBwRB,true,293245542,293245555,13,1727861479,7104
35,VcfHQfwkRJpKyFtJR3DGQ3PeDEFX6qQ2p7t7yH15oX6xrtJdAcwdyBAqJvQaFi8FwXgqXnfFhjdsUke4tyaNsG5,true,293245550,293245560,10,1727861483,6554
11,2EgWMPErEDhjrNKRyY533G33vRQpJPSwWFuf3SyWfApCfV9QXpXqXDjdCF6nS9Ht12tqTWFybm3LsbxTdhVqeUgQ,true,293245542,293245560,18,1727861479,10583
30,5zf8iwFdhoZZyUoepgLMpVRrAukEwBBf5tdYLoXqiYvtiKBAWfUjM34hkD3mT8qv9zS44h9DwMuod4DNnJEvVwJD,true,293245550,293245560,10,1727861483,6718
33,48yWRP2FJ4A67VqeWLvoUhFMHro6r6UpapP6NCdQQU6Wcaym93JUTsp1qyX77RYGbThdiJK2FJjjerFaPcBQXxU8,true,293245550,293245560,10,1727861483,6712
31,3ittXbfk5ELyt2Xz5ZW7uFbkwbVtb2SfAtU9iLQmw822sf6sdhsx7VyNmtnETTo6chpKQPYuieKXz1NU9wpQYGNA,true,293245550,293245560,10,1727861483,6724
19,2Exo34SaqfbQ9jdBZGgh7zDyYy91RWtigWxz5wKCmeHTYhukVWpDaKNLNGU2UCq2D7x35S3zuFQuXQCBkKHCdHBt,true,293245542,293245560,18,1727861479,10690
32,5ZWsbCUv6gnMWWReDuEKPDwdg5amcQgkM2vXJUFEhAwCLXGM6ewHPeLo1zsexiRLaxKR9ahjAwWXD8d4c8RdHNze,true,293245550,293245560,10,1727861483,6724
17,2FimWgJysaXV1dk9rXCGw1LgBsgCYzUUGgWCN9dwGgxwYzJ29rFUhY2JyUi98bmAbrXhjDpyjSmKt2zvrVhoh73Z,true,293245542,293245560,18,1727861479,10672
37,5hAPbi7STQEgVtbMWzrEWWN3XGVvMFBghiCMtWGPDQzMkvdcKgiBMVgGqqWGKmqTdB6msdNaqS8ZeiKaBDBiPGRu,true,293245549,293245560,11,1727861483,6818
14,5gVL61uymp5qKFbcwNbfrXaZ5b61ac7NDdKUfjmVpUZj73m6Xju6KMDaFhMhycW8bueeejkDsLWbvCMF2H18fMQd,true,293245542,293245560,18,1727861479,10622
34,5S3LqvvGj6A1VTKiqFHtCnQqDRXUCopdtawYqWK5z3729Au6LLqpU4TgewFcCU2CLP9jF67czJuQDEGhvug5sQNL,true,293245550,293245561,11,1727861483,7388
39,3z9FDn6XYpV2mad52UHN8LfdAHbnmpRks7YrubeZ353Zp5zVbUs7n1hrBZmCP9NctnTwneTABptDBRy3JvWHRYcR,true,293245550,293245561,11,1727861483,7296
36,2GiPYnD8h294piMSYHf8bc8tks6p8Mvw6Dd3P9NQpyifJEvfyYU5DdWJD3qtAU35nuGUEf1u6Cb7pZ1QNJUoscSa,true,293245550,293245562,12,1727861483,8043
38,64ARF8Bez8YoZvsSswBoiJvZTGhQWy75kCgr2cgQP3y8U8cQDFVsZeJH4fTz9DDhL5MtCBG2uesCcQUt55rnM4qm,true,293245550,293245562,12,1727861483,7972
47,5GMRVB8Cf4RbJwJP7EvDYSyRGWbL9VGfsyWbXrxpSKjMwDsBeWSRr34B6QEWMsTy9YsDM1EwwNSk38Yk5KafE9BV,true,293245553,293245563,10,1727861485,6533
54,5xzLV8cWun2dYubDS6g857dx5BDyYtSj7S7dS8JXrhLy2WuiDiQC2fsnXqi1BXijBM17MZzqMpzG6mczn8XzKeoA,true,293245556,293245564,8,1727861487,5083
42,2mvm4c11CMkJbBsBFNJS317B5GSNtFCiaE2buU5cnRux4FnqzbnF9wcV8kZnGhckAWHp9wAAQS24zhAZKjG7VpbM,true,293245553,293245564,11,1727861485,6915
